ID,gender,seniors,month,payment_method,bill
2587-YNLES,Female,0,6,Mailed check,20.1
7398-SKNQZ,Female,0,3,Electronic check,94.9
5935-FCCNB,Female,1,17,Electronic check,94.2
1958-RNRKS,Male,0,30,Electronic check,49.9
5136-RGMZO,Male,0,31,Electronic check,71.05
8345-MVDYC,Female,0,45,Bank transfer (automatic),81.65
8226-BXGES,Male,0,64,Bank transfer (automatic),89.45
3877-JRJIP,Male,0,1,Electronic check,59.85
8375-DKEBR,Female,1,1,Electronic check,69.6
9705-IOVQQ,Male,1,61,Electronic check,99
1015-OWJKI,Male,0,1,Mailed check,19.05
7511-YMXVQ,Male,0,9,Electronic check,45.4
2040-XBAVJ,Male,0,72,Bank transfer (automatic),114.45
7551-JOHTI,Female,0,1,Mailed check,19.5
8887-IPQNC,Female,0,7,Mailed check,44.25
8646-JCOMS,Female,0,66,Bank transfer (automatic),90.55
9804-ICWBG,Male,0,1,Electronic check,69.9
1222-KJNZD,Male,0,40,Bank transfer (automatic),20.4
0106-GHRQR,Male,0,16,Bank transfer (automatic),71.4
5318-IXUZF,Female,0,2,Bank transfer (automatic),87.15
3768-VHXQO,Male,0,67,Credit card (automatic),24.85
8952-WCVCD,Female,0,41,Bank transfer (automatic),104.45
2418-TPEUN,Female,0,56,Credit card (automatic),19.8
3963-RYFNS,Female,0,72,Bank transfer (automatic),116.45
3198-VELRD,Female,0,3,Bank transfer (automatic),84.75
8540-ZQGEA,Female,0,54,Credit card (automatic),20.05
1320-REHCS,Male,1,52,Electronic check,110.75
4137-JOPHL,Female,0,50,Bank transfer (automatic),89.7
9436-ZBZCT,Male,0,14,Electronic check,89.95
7801-CEDNV,Male,0,27,Credit card (automatic),48.7
2057-BOYKM,Female,1,72,Bank transfer (automatic),96.6
3658-QQJYD,Male,0,62,Credit card (automatic),74.3
1803-BGNBD,Female,0,12,Electronic check,54.3
0134-XWXCE,Female,1,44,Bank transfer (automatic),74.85
6950-TWMYB,Male,0,54,Bank transfer (automatic),79.95
5848-FHRFC,Female,0,68,Bank transfer (automatic),20.05
2243-FNMMI,Male,0,20,Mailed check,19.4
2511-MORQY,Male,0,50,Bank transfer (automatic),54.9
5356-KZCKT,Male,0,58,Credit card (automatic),24.45
9470-XCCEM,Male,0,35,Bank transfer (automatic),89.65
6519-CFDBX,Female,0,2,Electronic check,45.4
3902-MIVLE,Male,0,63,Mailed check,75.7
0409-WTMPL,Female,0,58,Credit card (automatic),110.65
8763-KIAFH,Female,0,27,Mailed check,20.55
3669-WHAFY,Female,0,71,Credit card (automatic),115.15
3055-VTCGS,Female,0,63,Credit card (automatic),58.55
3144-KMTWZ,Male,0,71,Bank transfer (automatic),93.25
7279-BUYWN,Female,1,41,Electronic check,113.2
7156-MHUGY,Male,1,13,Electronic check,90.5
7198-GLXTC,Male,0,2,Electronic check,79
2007-QVGAW,Female,0,68,Bank transfer (automatic),19.35
5207-PLSTK,Male,0,1,Mailed check,48.75
2307-FYNNL,Male,1,65,Electronic check,109.05
5605-XNWEN,Male,1,72,Bank transfer (automatic),25
2155-AMQRX,Female,0,28,Credit card (automatic),54.9
6181-AXXYF,Male,0,72,Credit card (automatic),24.75
5091-HFAZW,Female,0,2,Electronic check,91.15
0516-VRYBW,Female,0,18,Bank transfer (automatic),20.15
2519-LBNQL,Male,1,60,Electronic check,104.35
8623-ULFNQ,Female,1,26,Electronic check,66.05
8380-PEFPE,Male,0,1,Electronic check,71.65
5687-DKDTV,Female,0,4,Mailed check,20.35
1568-LJSZU,Male,0,68,Credit card (automatic),92.2
7530-HDYDS,Female,0,38,Credit card (automatic),84.25
7789-HKSBS,Female,1,42,Bank transfer (automatic),105.2
7416-CKTEP,Female,0,57,Bank transfer (automatic),19.6
2586-CWXVV,Male,0,54,Electronic check,30.4
3096-IZETN,Female,0,12,Bank transfer (automatic),78.1
2348-KCJLT,Female,0,44,Mailed check,61.5
8401-EMUWF,Male,0,42,Bank transfer (automatic),69.4
4193-IBKSW,Male,0,72,Bank transfer (automatic),24.75
5377-NDTOU,Female,0,71,Mailed check,91.05
5922-ABDVO,Female,0,19,Mailed check,89.65
2474-LCNUE,Female,0,23,Credit card (automatic),73.65
0839-QNXME,Female,0,30,Credit card (automatic),19.4
3506-OVLKD,Male,0,35,Bank transfer (automatic),26.2
9172-ANCRX,Female,0,10,Electronic check,98.7
6650-VJONK,Male,0,1,Bank transfer (automatic),43.85
2178-PMGCJ,Male,0,22,Mailed check,69.7
7492-TAFJD,Male,0,7,Mailed check,38.55
2773-MADBQ,Female,0,36,Mailed check,53.1
6016-LVTJQ,Female,0,34,Mailed check,20.65
7860-KSUGX,Male,0,72,Credit card (automatic),64.45
8966-KZXXA,Male,0,36,Credit card (automatic),25.1
6910-HADCM,Female,0,1,Electronic check,76.35
4816-LXZYW,Female,0,23,Electronic check,79.15
9606-PBKBQ,Male,1,32,Electronic check,85
5149-QYTTU,Female,0,71,Credit card (automatic),95.15
2070-XYMFH,Female,1,23,Mailed check,79.35
2085-BOJKI,Male,0,17,Bank transfer (automatic),96.65
0817-HSUSE,Male,0,1,Electronic check,75.5
5442-PPTJY,Male,0,12,Mailed check,19.7
1927-QEWMY,Female,0,72,Credit card (automatic),20.5
1663-MHLHE,Male,0,1,Mailed check,19.2
5663-QBGIS,Male,1,72,Bank transfer (automatic),98.35
4450-MDZFX,Male,0,60,Bank transfer (automatic),74.35
6701-DHKWQ,Female,0,61,Credit card (automatic),51.35
7554-AKDQF,Female,0,6,Mailed check,45.65
3536-IQCTX,Male,1,32,Electronic check,85.3
4911-BANWH,Female,0,31,Credit card (automatic),86.55
8496-EJAUI,Male,0,19,Credit card (automatic),73.85
0794-YVSGE,Male,0,72,Bank transfer (automatic),20.3
5423-BHIXO,Female,0,32,Electronic check,54.2
6908-VVYHM,Male,0,65,Electronic check,90.65
2959-EEXWB,Female,0,45,Bank transfer (automatic),50.9
1839-UMACK,Male,0,42,Electronic check,25.05
3030-YDNRM,Male,0,8,Electronic check,74.85
7321-KKSDU,Male,0,32,Mailed check,20.5
3402-XRIUO,Female,1,22,Mailed check,63.55
3132-TVFDZ,Male,1,57,Electronic check,44.85
8286-AFUYI,Male,0,1,Electronic check,47.95
8080-DDEMJ,Male,1,1,Electronic check,45.1
8356-WUAOJ,Female,0,1,Electronic check,45
6365-MTGZX,Male,0,24,Electronic check,96
1349-WXNGG,Male,0,1,Bank transfer (automatic),20.05
8058-DMYRU,Male,1,54,Electronic check,90.05
9350-ZXYJC,Female,0,4,Credit card (automatic),25.3
6990-YNRIO,Male,0,65,Bank transfer (automatic),108.65
8958-JPTRR,Female,0,56,Electronic check,24.3
6959-GQEGV,Male,0,45,Electronic check,75.95
3173-WSSUE,Female,0,71,Credit card (automatic),19.7
1265-HVPZB,Male,0,59,Credit card (automatic),66.4
4115-UMJFQ,Male,0,69,Bank transfer (automatic),35.75
7369-TRPFD,Male,0,19,Mailed check,18.8
1098-KFQEC,Female,0,55,Credit card (automatic),19.4
7190-XHTWJ,Female,0,38,Mailed check,19.3
0621-TWIEM,Male,0,10,Electronic check,45.55
3537-RYBHH,Female,1,47,Credit card (automatic),67.45
2485-ITVKB,Female,0,2,Electronic check,35.1
3669-OYSJI,Male,0,1,Credit card (automatic),46.2
1612-EOHDH,Female,0,1,Electronic check,45.15
6702-OHFWR,Male,1,1,Electronic check,43.3
5296-BFCYD,Male,0,46,Mailed check,20.1
4510-PYUSH,Female,1,38,Credit card (automatic),57.15
9359-JANWS,Female,0,65,Credit card (automatic),58.9
7517-SAWMO,Female,0,19,Electronic check,73.2
4143-HHPMK,Male,0,52,Electronic check,85.35
3279-DYZQM,Male,0,71,Mailed check,19.45
7054-LGEQW,Female,0,1,Mailed check,45.95
0523-VNGTF,Female,1,52,Electronic check,50.5
9575-IWCAZ,Male,0,6,Mailed check,25.1
7105-MXJLL,Female,1,26,Mailed check,60.7
7064-FRRSW,Male,1,48,Electronic check,99
7940-UQQUG,Female,0,64,Bank transfer (automatic),104.4
0923-PNFUB,Female,0,3,Electronic check,83.75
3961-SXAXY,Male,0,1,Bank transfer (automatic),44.05
7010-BRBUU,Male,0,72,Credit card (automatic),24.1
3566-HJGPK,Male,0,1,Mailed check,45.55
3062-ICYZQ,Female,0,51,Electronic check,93.8
9938-PRCVK,Female,0,41,Bank transfer (automatic),19.7
0973-KYVNF,Female,0,72,Credit card (automatic),70.65
5129-HHMZC,Female,0,43,Credit card (automatic),86.45
9637-CDTKZ,Male,0,72,Credit card (automatic),114.1
3946-JEWRQ,Male,0,47,Credit card (automatic),95.2
7873-CVMAW,Male,0,72,Credit card (automatic),88.55
0463-WZZKO,Male,0,3,Credit card (automatic),20.75
3494-JCHRQ,Male,0,1,Electronic check,70.05
6474-FVJLC,Male,0,2,Electronic check,86
4524-QCSSM,Male,0,26,Bank transfer (automatic),44.65
5832-EXGTT,Male,0,29,Mailed check,60.2
8840-DQLGN,Female,1,35,Bank transfer (automatic),100.5
2039-JONDJ,Male,0,27,Bank transfer (automatic),55.45
7217-JYHOQ,Male,0,24,Credit card (automatic),70.3
6695-FRVEC,Male,0,67,Bank transfer (automatic),60.4
4547-LYTDD,Female,0,16,Electronic check,72.65
9894-QMIMJ,Female,0,23,Bank transfer (automatic),55.8
8069-YQQAJ,Male,0,14,Mailed check,31.1
6770-XUAGN,Female,0,1,Electronic check,21
4193-ORFCL,Female,1,1,Mailed check,45.1
1636-NTNCO,Male,1,4,Credit card (automatic),50.95
3466-WAESX,Male,0,16,Electronic check,69.1
9281-PKKZE,Female,0,46,Electronic check,43.95
3638-VBZTA,Male,0,68,Bank transfer (automatic),86.5
7459-IMVYU,Male,0,38,Electronic check,69.95
7776-QWNFX,Male,1,30,Bank transfer (automatic),50.4
6689-TCZHQ,Female,1,5,Electronic check,78.95
8563-OYMQY,Male,0,17,Credit card (automatic),90.95
0754-EEBDC,Male,0,4,Mailed check,19.9
5777-ZPQNC,Female,0,12,Electronic check,20.15
1951-IEYXM,Male,0,72,Credit card (automatic),90.6
3318-NMQXL,Male,0,3,Electronic check,92
3143-ILDAL,Male,0,56,Electronic check,94.45
1022-RKXDR,Female,0,41,Mailed check,24.85
2361-FJWNO,Male,0,40,Credit card (automatic),36
2272-UOINI,Female,0,7,Electronic check,78.5
8232-UTFOZ,Male,0,69,Credit card (automatic),19.95
3750-YHRYO,Male,0,7,Mailed check,20.65
6637-KYRCV,Female,0,5,Electronic check,30.5
5668-MEISB,Female,0,72,Credit card (automatic),106.1
0129-QMPDR,Male,0,44,Bank transfer (automatic),20.5
7188-CBBBA,Female,0,65,Electronic check,95.5
5356-CSVSQ,Female,0,3,Electronic check,64.6
3221-CJMSG,Male,0,24,Credit card (automatic),51.1
4720-VSTSI,Female,0,44,Bank transfer (automatic),84.8
3219-JQRSL,Female,1,72,Credit card (automatic),89.1
2801-NISEI,Male,0,24,Electronic check,54.95
3946-MHCZW,Male,0,1,Mailed check,50.9
4623-ZKHLY,Male,0,22,Bank transfer (automatic),20.45
6732-VAILE,Male,0,70,Credit card (automatic),85.95
8201-AAXCB,Male,0,25,Electronic check,60.35
7696-CFTAT,Male,0,37,Bank transfer (automatic),19.8
1845-CSBRZ,Female,1,22,Bank transfer (automatic),85.35
2123-VSCOT,Female,0,59,Bank transfer (automatic),72.1
6651-AZVTJ,Male,0,49,Electronic check,99.8
4566-GOLUK,Male,0,47,Bank transfer (automatic),107.35
2484-DGXPZ,Female,0,31,Mailed check,19.55
2018-QKYGT,Male,0,1,Electronic check,81.05
2792-VPPET,Male,0,3,Electronic check,20.5
7409-JURKQ,Female,0,53,Bank transfer (automatic),111.8
3247-MHJKM,Male,0,1,Mailed check,20.2
1964-SVLEA,Male,0,20,Mailed check,19.7
4587-NUKOX,Female,0,3,Electronic check,79.1
7297-DVYGA,Female,0,51,Bank transfer (automatic),19.85
2239-CGBUZ,Female,0,51,Bank transfer (automatic),60.5
0854-UYHZD,Female,0,13,Mailed check,19.55
7243-LCGGZ,Female,0,1,Mailed check,20.9
8267-KFGYD,Male,0,1,Mailed check,21.05
4890-VMUAV,Male,0,63,Electronic check,71.5
9261-WDCAF,Male,0,3,Mailed check,54.65
3764-MNMOI,Male,0,46,Credit card (automatic),19.2
7442-YGZFK,Male,0,1,Credit card (automatic),49.8
0420-BWTPW,Male,0,8,Mailed check,25.5
8229-BUJHX,Female,0,71,Bank transfer (automatic),20.5
7449-HVPIV,Male,0,55,Credit card (automatic),90.4
5504-WSIUR,Female,0,70,Bank transfer (automatic),90.25
8183-ONMXC,Female,0,2,Electronic check,80.75
8466-PZBLH,Male,0,67,Bank transfer (automatic),104.6
9614-RMGHA,Male,0,65,Bank transfer (automatic),91.85
8735-IJJEG,Male,0,14,Credit card (automatic),50.2
0564-MUUQK,Female,0,20,Bank transfer (automatic),95.5
5054-IEXZT,Male,0,1,Electronic check,75.35
5834-ASPWA,Male,0,1,Electronic check,75.45
0701-RFGFI,Female,0,49,Bank transfer (automatic),95.4
0019-EFAEP,Female,0,72,Bank transfer (automatic),101.3
5619-PTMIK,Female,0,46,Electronic check,53.1
3737-XBQDD,Male,0,24,Bank transfer (automatic),84.85
5882-CMAZQ,Female,0,5,Electronic check,34.25
5846-QFDFI,Female,0,33,Credit card (automatic),88.6
4445-KWOKW,Female,0,42,Bank transfer (automatic),60.15
3511-APPBJ,Male,0,23,Credit card (automatic),99.95
7967-HYCDE,Male,0,8,Bank transfer (automatic),70.7
2430-RRYUW,Male,0,66,Mailed check,54.8
3948-XHGNA,Male,0,24,Bank transfer (automatic),49.55
3723-BFBGR,Male,1,24,Credit card (automatic),54.8
0565-IYCGT,Male,0,69,Credit card (automatic),78.6
5447-WZAFP,Female,0,53,Mailed check,100.3
5110-CHOPY,Female,0,60,Electronic check,53.6
5445-UTODQ,Female,0,7,Electronic check,81.1
4425-OWHWB,Female,0,20,Credit card (automatic),19.35
7892-QVYKW,Female,0,23,Electronic check,85.6
9675-ICXCT,Male,0,72,Electronic check,80.8
1024-VRZHF,Male,0,11,Electronic check,74.95
4703-MQYKT,Male,0,21,Mailed check,19.6
9497-QCMMS,Male,1,1,Electronic check,93.55
5692-ICXLW,Male,1,31,Electronic check,90.7
0602-DDUML,Female,0,57,Mailed check,69.75
2208-MPXIO,Female,0,45,Bank transfer (automatic),20
1960-UYCNN,Male,0,10,Electronic check,95.25
0348-SDKOL,Female,0,58,Credit card (automatic),102.1
3190-FZATL,Male,0,14,Mailed check,19.95
7336-RLLRH,Male,0,27,Mailed check,80.85
4373-MAVJG,Female,0,14,Bank transfer (automatic),90.9
8901-HJXTF,Female,0,12,Mailed check,29.2
7710-JSYOA,Female,0,69,Bank transfer (automatic),93.3
5419-KLXBN,Female,0,25,Bank transfer (automatic),89.15
3424-NMNBO,Male,1,58,Electronic check,108.85
9885-MFVSU,Female,0,35,Credit card (automatic),46.35
4514-GFCFI,Female,1,16,Electronic check,84.75
0607-MVMGC,Male,0,45,Credit card (automatic),78.75
3365-SAIGS,Female,0,17,Electronic check,83.55
9828-AOQLM,Female,0,1,Electronic check,45.7
8022-BECSI,Male,0,22,Mailed check,19.6
8000-REIQB,Female,1,1,Electronic check,69.95
9993-LHIEB,Male,0,67,Mailed check,67.85
0266-CLZKZ,Female,0,67,Bank transfer (automatic),105.65
7615-ESMYF,Female,0,2,Electronic check,44.6
3858-VOBET,Male,0,23,Electronic check,74.95
7020-OZKXZ,Female,1,9,Credit card (automatic),75.5
3977-QCRSL,Female,0,5,Mailed check,20.15
0017-DINOC,Male,0,54,Credit card (automatic),45.2
1447-PJGGA,Female,0,57,Electronic check,95.25
8565-CLBZW,Male,0,24,Mailed check,89.85
9139-WQQDY,Female,0,49,Mailed check,100.45
0224-HJAPT,Male,0,5,Electronic check,47.15
8086-OVPWV,Male,0,2,Electronic check,80.2
9430-FRQOC,Female,0,4,Mailed check,87.1
7639-OPLNG,Male,0,70,Bank transfer (automatic),79.25
3074-GQWYX,Male,0,5,Bank transfer (automatic),75.9
1492-QGCLU,Male,0,53,Electronic check,85.7
6845-RGTYS,Female,0,47,Electronic check,98.75
7328-OWMOM,Female,0,31,Credit card (automatic),20.1
4418-LZMSV,Male,0,13,Bank transfer (automatic),61.8
5155-AZQPB,Female,0,28,Mailed check,49.9
8861-HGGKB,Female,0,10,Electronic check,86.45
1087-GRUYI,Male,0,38,Bank transfer (automatic),20.4
7065-YUNRY,Female,0,1,Mailed check,45.3
7694-VLBWQ,Male,0,67,Electronic check,104.1
2546-KZAAT,Male,0,52,Mailed check,75.4
0181-RITDD,Male,0,62,Mailed check,108.15
5989-PGKJB,Female,0,16,Electronic check,86.25
4795-KTRTH,Female,1,5,Electronic check,81
8272-ONJLV,Male,0,12,Electronic check,95.7
1488-PBLJN,Female,0,72,Bank transfer (automatic),116.85
0308-GIQJT,Male,1,71,Bank transfer (automatic),105.75
3778-FOAQW,Female,0,24,Mailed check,20.15
4452-ROHMO,Female,0,15,Mailed check,19.6
6481-OGDOO,Male,0,67,Credit card (automatic),90.6
3090-LETTY,Male,0,2,Bank transfer (automatic),60.95
5349-AZPEW,Female,0,5,Mailed check,25.05
3753-TSEMP,Female,0,15,Electronic check,88.15
8305-VHZBZ,Male,0,1,Mailed check,20.2
9720-JJJOR,Male,0,41,Bank transfer (automatic),60.3
8100-HZZLJ,Female,0,43,Electronic check,63.95
8775-ERLNB,Male,1,1,Electronic check,74.3
8309-IEYJD,Female,1,1,Mailed check,70.6
9172-JITSM,Female,0,26,Electronic check,90.8
6298-QDFNH,Male,0,22,Electronic check,79.35
7398-HPYZQ,Male,0,71,Bank transfer (automatic),90.55
3546-GHEAE,Male,0,7,Mailed check,19.45
7361-YPXFS,Female,1,28,Bank transfer (automatic),64.45
6557-BZXLQ,Male,1,16,Electronic check,69.65
2550-QHZGP,Male,0,7,Mailed check,19.5
7519-JTWQH,Female,0,69,Bank transfer (automatic),110.5
2538-OIMXF,Female,0,1,Mailed check,24.7
8543-MSDMF,Male,0,3,Electronic check,77.4
9961-JBNMK,Male,1,21,Bank transfer (automatic),96.8
1170-SASML,Female,0,69,Bank transfer (automatic),85.4
4872-JCVCA,Female,0,71,Bank transfer (automatic),47.6
5346-BZCHP,Female,0,69,Mailed check,19.4
2038-LLMLM,Female,0,48,Electronic check,103.85
6173-ITPWD,Male,0,47,Bank transfer (automatic),83.35
9734-UYXQI,Female,0,2,Electronic check,49.4
1216-BGTSP,Male,0,45,Credit card (automatic),108.45
4138-NAXED,Male,0,51,Bank transfer (automatic),81
2189-UXTKY,Female,0,22,Electronic check,79.2
0744-BIKKF,Male,0,72,Bank transfer (automatic),86.65
7483-IQWIB,Male,0,37,Electronic check,92.95
5248-KWLAR,Male,0,71,Electronic check,90.35
4958-GZWIY,Male,0,7,Electronic check,48.7
7996-MHXLW,Female,0,66,Credit card (automatic),25.15
7833-PKIHD,Male,0,51,Bank transfer (automatic),76.4
7061-OVMIM,Female,0,30,Bank transfer (automatic),19.55
5153-RTHKF,Female,0,34,Electronic check,85.35
1852-QSWCD,Male,0,64,Mailed check,24.8
4832-VRBMR,Male,1,65,Bank transfer (automatic),103.15
9079-LWTFD,Male,0,47,Mailed check,100.75
6356-ELRKD,Female,0,1,Electronic check,95.6
8624-GIOUT,Female,0,49,Credit card (automatic),59.75
3392-EHMNK,Female,0,67,Credit card (automatic),94.1
5986-WWXDV,Male,0,39,Bank transfer (automatic),19.35
3061-BCKYI,Male,0,14,Mailed check,19.9
6179-GJPSO,Female,1,43,Credit card (automatic),108.15
7901-TBKJX,Male,1,56,Electronic check,101.05
7228-PAQPD,Female,0,14,Credit card (automatic),59.1
3177-LASXD,Female,0,1,Electronic check,71.35
7746-QYVCO,Male,0,16,Mailed check,55.85
5804-HYIEZ,Male,0,70,Electronic check,106.05
9919-FZDED,Male,1,72,Credit card (automatic),84.1
5934-TSSAU,Female,0,23,Credit card (automatic),75.3
3486-KHMLI,Male,0,21,Mailed check,24.7
4897-QSUYC,Female,0,1,Mailed check,20.15
1084-UQCHV,Male,0,1,Bank transfer (automatic),69.75
8290-YWKHZ,Female,1,32,Electronic check,93.2
2955-BJZHG,Male,0,17,Electronic check,80.85
3806-DXQOM,Female,0,4,Electronic check,33.65
6784-XYJAE,Female,0,36,Electronic check,55.8
3933-DQPWX,Female,0,50,Credit card (automatic),39.7
6661-EIPZC,Female,0,48,Credit card (automatic),29.5
8957-THMOA,Female,0,50,Credit card (automatic),20.15
2251-PYLPB,Male,0,72,Credit card (automatic),79.55
5555-RNPGT,Male,0,10,Credit card (automatic),24.8
1057-FOGLZ,Female,0,18,Mailed check,19.65
9300-RENDD,Male,0,1,Electronic check,79.95
0761-AETCS,Female,0,1,Electronic check,19.3
8087-LGYHQ,Male,0,9,Electronic check,94.05
4137-BTIKL,Male,0,2,Mailed check,90.75
2190-BCXEC,Female,0,40,Credit card (automatic),78.85
6227-FBDXH,Male,0,69,Bank transfer (automatic),99.5
2153-MREFK,Female,0,37,Electronic check,99.2
2911-WDXMV,Male,0,18,Credit card (automatic),80.55
7206-PQBBZ,Male,1,11,Electronic check,70.2
3106-ULWFW,Female,0,8,Credit card (automatic),85.2
0925-VYDLG,Female,0,3,Electronic check,75.25
4547-FZJWE,Male,0,55,Credit card (automatic),59.45
7422-WNBTY,Male,0,33,Electronic check,93.35
0842-IWYCP,Female,0,46,Bank transfer (automatic),44.95
3521-HTQTV,Male,0,34,Bank transfer (automatic),26.1
3744-ZBHON,Female,0,3,Electronic check,20.2
3373-DIUUN,Male,0,30,Mailed check,21.25
8383-SGHJU,Female,0,33,Electronic check,59.4
7607-QKKTJ,Male,0,45,Credit card (automatic),95
7707-PYBBH,Male,0,40,Mailed check,61.9
8984-HPEMB,Female,0,71,Electronic check,118.65
4349-GFQHK,Male,0,1,Electronic check,54.35
4139-DETXS,Female,0,72,Bank transfer (automatic),64.45
9779-DPNEJ,Female,0,22,Electronic check,80.15
9805-FILKB,Male,0,46,Bank transfer (automatic),20.2
5793-YOLJN,Female,0,55,Mailed check,21
0673-IGUQO,Male,0,1,Mailed check,20.45
4123-FCVCB,Female,0,12,Mailed check,75.85
8819-IMISP,Male,0,31,Electronic check,80.45
7802-EFKNY,Male,0,5,Electronic check,24.95
8311-UEUAB,Female,0,67,Electronic check,75.5
5858-EAFCZ,Male,0,1,Mailed check,44.45
8035-BUYVG,Male,0,40,Electronic check,42.35
1163-ONYEY,Male,0,41,Credit card (automatic),74.55
9787-XVQIU,Male,0,1,Electronic check,75.3
8945-MUQUF,Male,0,51,Electronic check,94.8
5656-MJEFC,Male,0,42,Credit card (automatic),48.15
6082-OQFBA,Male,0,23,Mailed check,19.65
8051-HJRLT,Female,1,1,Electronic check,70.55
8974-OVACP,Female,0,1,Mailed check,20.15
4010-YLMVT,Female,0,56,Credit card (automatic),106.6
1379-FRVEB,Male,0,15,Electronic check,91
8612-GXIDD,Male,0,12,Bank transfer (automatic),25.4
6288-CHQJB,Female,0,54,Bank transfer (automatic),69.95
8160-HOWOX,Female,0,7,Electronic check,66.85
3023-GFLBR,Female,0,33,Credit card (automatic),86.15
6648-INWPS,Male,0,16,Electronic check,20.15
4223-BKEOR,Female,0,21,Mailed check,64.85
4079-VTGLK,Male,1,30,Electronic check,74.85
1763-WQFUK,Male,0,3,Mailed check,50.5
1391-UBDAR,Male,0,11,Electronic check,72.9
8894-JVDCV,Female,0,62,Credit card (automatic),115.05
2023-VQFDL,Male,0,18,Electronic check,19
1345-GKDZZ,Male,0,6,Mailed check,19.55
2014-MKGMH,Female,0,46,Electronic check,101.1
5628-FCGYG,Male,0,21,Electronic check,84.1
2560-WBWXF,Male,0,68,Bank transfer (automatic),24.15
0248-IPDFW,Female,0,1,Electronic check,50.1
7978-DKUQH,Female,0,25,Electronic check,74.6
4335-UPJSI,Female,0,24,Mailed check,19.75
0524-IAVZO,Female,0,30,Electronic check,85
2737-YNGYW,Female,0,2,Electronic check,80.55
1784-EZDKJ,Male,0,51,Bank transfer (automatic),106.8
9297-FVVDH,Female,0,57,Electronic check,84.5
8007-YYPWD,Female,0,15,Bank transfer (automatic),25.05
7101-HRBLJ,Female,0,72,Bank transfer (automatic),83.7
5159-YFPKQ,Female,0,2,Electronic check,75.8
6635-CPNUN,Male,0,28,Credit card (automatic),96.6
4021-RQSNY,Male,1,29,Electronic check,98.5
5453-YBTWV,Male,0,70,Credit card (automatic),101.1
5039-LZRQT,Female,0,13,Mailed check,20.2
2931-VUVJN,Female,1,59,Electronic check,94.05
9061-TIHDA,Male,1,13,Electronic check,95.25
8699-ASUFO,Male,1,7,Mailed check,74.4
6418-PIQSP,Female,0,62,Mailed check,81
8220-OCUFY,Female,0,21,Electronic check,60.25
3995-WFCSM,Female,0,2,Electronic check,60.85
1895-QTKDO,Female,0,1,Credit card (automatic),43.95
2038-OEQZH,Male,0,4,Electronic check,86.05
1178-PZGAB,Female,0,19,Credit card (automatic),20.25
7927-AUXBZ,Female,0,30,Electronic check,85.15
2626-VEEWG,Male,0,67,Credit card (automatic),19.4
2878-RMWXY,Male,1,72,Credit card (automatic),102.65
1657-DYMBM,Male,0,53,Credit card (automatic),19.9
7311-MQJCH,Female,0,5,Electronic check,19.55
7375-WMVMT,Male,1,71,Credit card (automatic),95.5
1136-XGEQU,Female,0,50,Credit card (automatic),84.15
2530-FMFXO,Male,0,56,Electronic check,103.2
6844-DZKRF,Male,0,2,Credit card (automatic),50.2
4695-WJZUE,Female,1,2,Electronic check,88.55
7619-ODSGN,Male,0,24,Electronic check,54.75
5970-GHJAW,Male,0,46,Credit card (automatic),19.95
8879-XUAHX,Male,0,71,Electronic check,116.25
3689-MOZGR,Female,0,29,Electronic check,31.2
4195-PNGZS,Male,0,69,Bank transfer (automatic),24.45
5003-XZWWO,Male,0,71,Credit card (automatic),84.2
3988-RQIXO,Female,1,1,Electronic check,91.3
7622-FWGEW,Male,1,56,Bank transfer (automatic),85.65
6922-NCEDI,Male,0,56,Mailed check,21.2
2514-GINMM,Male,0,1,Electronic check,79.5
9891-NQDBD,Female,0,28,Mailed check,25.55
6131-IUNXN,Female,0,19,Mailed check,20.2
8548-AWOFC,Male,0,66,Electronic check,63.85
9798-DRYDS,Female,0,17,Mailed check,61.95
8532-UEFWH,Male,0,52,Mailed check,25.75
6296-DDOOR,Female,0,19,Electronic check,58.2
7951-VRDVK,Female,0,36,Bank transfer (automatic),85.85
5931-FLJJF,Male,1,7,Mailed check,70.1
4815-YOSUK,Male,0,72,Credit card (automatic),104.9
2659-VXMWZ,Male,0,67,Electronic check,111.3
0380-NEAVX,Male,1,34,Electronic check,99.85
3207-OYBWH,Male,1,57,Bank transfer (automatic),95.25
4285-GYRQC,Female,0,7,Electronic check,86.25
7216-EWTRS,Female,1,1,Electronic check,100.8
4365-MSDYN,Male,0,8,Bank transfer (automatic),19.55
7036-TYDEC,Female,0,69,Electronic check,104
5802-ADBRC,Female,0,50,Mailed check,104.4
8076-FEZKJ,Male,0,10,Mailed check,19.5
5197-YPYBZ,Female,0,12,Credit card (automatic),25.25
8337-MSSXB,Female,0,14,Electronic check,86.3
4312-GVYNH,Female,0,70,Bank transfer (automatic),49.85
8495-LJDFO,Female,1,64,Bank transfer (automatic),108.95
0839-JTCUD,Female,0,66,Credit card (automatic),89.9
5494-WOZRZ,Female,0,71,Credit card (automatic),82
1302-UHBDD,Male,1,20,Electronic check,89.95
2234-EOFPT,Male,0,72,Bank transfer (automatic),79.35
8619-IJNDK,Female,0,71,Credit card (automatic),64.05
8378-LKJAF,Male,0,38,Credit card (automatic),101.15
8182-BJDSI,Female,0,28,Electronic check,89.95
2528-HFYZX,Male,1,17,Electronic check,76.45
1153-GNOLC,Male,0,33,Electronic check,39.1
3298-QEICA,Female,0,23,Mailed check,34.6
